,SNCY
Price/Earnings (TTM),135.4839
Price/Sales (TTM),1.46898
Price/Book (MRQ),2.42855
Price/Cash Flow (TTM),16.65607
5yr Low,13.25
5yr High,44.13
5yr Avg Return,-0.23020000000000004
Short Int Current Month,2946410.0
Short Int Prev Month,3526635.0
Short Int Pct of Float,0.0510132
Days to Cover,7.84552
Float,57.75576
Shares Outstanding,58.16667
Institutions Holding Shares,167.0
% Held by Institutions,1.104759
FCF Growth 5yr,0.12235650031646328
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
