,HNI
Price/Earnings (TTM),10.77179
Price/Sales (TTM),0.50985
Price/Book (MRQ),2.0153
Price/Cash Flow (TTM),6.09411
5yr Low,16.61
5yr High,46.93
5yr Avg Return,-0.013566666666666666
EPS Growth 5yr,-0.0627053
Revenue Growth 5yr,-0.0017379
Dividend Growth 5yr,0.0252932
Short Int Current Month,1475588.0
Short Int Prev Month,1608097.0
Short Int Pct of Float,0.0362776
Days to Cover,8.29952
Float,40.72421
Shares Outstanding,41.36377
Institutions Holding Shares,233.0
% Held by Institutions,0.781333
FCF Growth 5yr,-0.8399666155816196
