,HNI
% Above Low,0.1139
% Held by Institutions,0.7813
52-Wk Range,['26.51 - 44.50']
Annual Dividend $,1.28
Annual Dividend %,0.0433
Ask,45.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.9
Bid,22.24
Bid Size,200.0
Closing Price,29.53
Day Change $,0.05
Day Change %,0.0017000000000000001
Day High,29.87
Day Low,29.41
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",2.74
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.34
Last (size),20.0
Last (time),5:00p ET 11/25/22
Market Cap,1.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.77
Prev Close,29.48
Shares Outstanding,41.4M
Short Interest,0.0363
Today's Open,29.65
Volume,53250.0
Volume 10-day Avg,139697.0
Volume Past Day,(Light)
