,HNI
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.2721518987341771
Growth 1yr High Est,0.28749999999999987
Growth 1yr Consensus Est,0.2798259493670885
Growth 2yr Low Est,0.001747591158133388
Growth 2yr High Est,0.09277912621359219
Growth 2yr Consensus Est,0.04726335868586279
Growth 5yr Low Est,-0.09812246959366908
Growth 5yr High Est,-0.05211410713600456
Growth 5yr Consensus Est,-0.07511828836483682
Growth 5yr Actual/Est,-0.08447712799939777
Growth 3yr Historic,-0.09956644593516104
