,FTV
% Below High,0.1175
% Held by Institutions,0.9537
52-Wk Range,['52.47 - 77.14']
Annual Dividend $,0.28
Annual Dividend %,0.0040999999999999995
Ask,68.4
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.1
Bid,
Bid Size,
Closing Price,68.07
Day Change $,0.18
Day Change %,0.0027
Day High,68.38
Day Low,67.86
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",1.93
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.297
Last (size),60.0
Last (time),5:00p ET 11/25/22
Market Cap,24.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",35.33
Prev Close,67.89
Shares Outstanding,353.8M
Short Interest,0.0129
Today's Open,68.12
Volume,518812.0
Volume 10-day Avg,1678005.0
Volume Past Day,(Light)
