,SILK
Price/Earnings (TTM),
Price/Sales (TTM),15.67788
Price/Book (MRQ),32.26472
Price/Cash Flow (TTM),
5yr Low,20.84
5yr High,75.8
5yr Avg Return,0.15760000000000002
Short Int Current Month,2452468.0
Short Int Prev Month,3022444.0
Short Int Pct of Float,0.0660454
Days to Cover,3.89506
Float,37.12991
Shares Outstanding,38.12255
Institutions Holding Shares,218.0
% Held by Institutions,0.989348
FCF Growth 5yr,0.08120817918309142
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
