,SILK
% Below High,0.0496
% Held by Institutions,0.9893000000000001
52-Wk Range,['27.21 - 54.04']
Annual Dividend $,
Annual Dividend %,
Ask,51.36
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.3
Bid,51.28
Bid Size,300.0
Day Change $,-0.8
Day Change %,-0.015300000000000001
Day High,52.34
Day Low,50.92
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.63
Ex-dividend Date,No dividend
Historical Volatility,0.664
Last (size),100.0
Last (time),2:19p ET 11/28/22
Market Cap,2.0B
"P/E Ratio (TTM, GAAP)",
Prev Close,52.16
Price,51.36
Shares Outstanding,38.1M
Short Interest,0.066
Today's Open,52.14
Volume Past Day,(Light)
