,COP
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,1.413237924865832
Growth 1yr High Est,2.36038961038961
Growth 1yr Consensus Est,1.886813767627721
Growth 2yr Low Est,0.5453884212913296
Growth 2yr High Est,1.1094218583349016
Growth 2yr Consensus Est,0.8274051398131156
Growth 5yr Low Est,-1.4696922127050254
Growth 5yr High Est,-3.553559419669758
Growth 5yr Consensus Est,-2.5116258161873923
Growth 5yr Actual/Est,-1.7788038874808882
Growth 3yr Historic,-2.116517818683054
