,COP
% Below High,0.0843
% Held by Institutions,0.8101999999999999
52-Wk Range,['66.06 - 138.49']
Annual Dividend $,5.19
Annual Dividend %,0.0409
Ask,127.5
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.3
Bid,126.52
Bid Size,500.0
Closing Price,126.81
Day Change $,0.07
Day Change %,0.0006
Day High,127.77
Day Low,126.5
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",13.93
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.43100000000000005
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,158.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.1
Prev Close,126.74
Shares Outstanding,1.2B
Short Interest,0.0138
Today's Open,126.89
Volume,2547757.0
Volume 10-day Avg,6518858.0
Volume Past Day,(Light)
