,COP
Price/Earnings (TTM),9.10275
Price/Sales (TTM),2.10529
Price/Book (MRQ),3.21959
Price/Cash Flow (TTM),6.23429
5yr Low,20.84
5yr High,138.49
5yr Avg Return,0.2451
EPS Growth 5yr,
Revenue Growth 5yr,0.1367201
Dividend Growth 5yr,0.1463917
Short Int Current Month,17183497.0
Short Int Prev Month,16044213.0
Short Int Pct of Float,0.0138093
Days to Cover,2.17034
Float,1217.409
Shares Outstanding,1246.071
Institutions Holding Shares,2448.0
% Held by Institutions,0.8102389999999999
FCF Growth 5yr,1.0254505429576322
