,ZBRA
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.05011013215859028
Growth 1yr High Est,-0.06390977443609025
Growth 1yr Consensus Est,-0.057009953297340266
Growth 2yr Low Est,-0.07722897912277343
Growth 2yr High Est,0.02168825678654468
Growth 2yr Consensus Est,-0.027770361168114377
Growth 5yr Low Est,0.06305088611638246
Growth 5yr High Est,0.11618763984365407
Growth 5yr Consensus Est,0.08961926298001827
Growth 5yr Actual/Est,0.09806145525609036
Growth 3yr Historic,0.10764677115533228
