,ZBRA
% Above Low,0.1963
% Held by Institutions,0.8898
52-Wk Range,['224.87 - 615.00']
Annual Dividend $,
Annual Dividend %,
Ask,270.31
Ask Size,100.0
B/A Ratio,130.0
B/A Size,13000x100
Beta,1.6
Bid,268.38
Bid Size,13000.0
Closing Price,269.0
Day Change $,-2.9
Day Change %,-0.010700000000000001
Day High,270.06
Day Low,266.52
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",8.76
Ex-dividend Date,No dividend
Historical Volatility,0.469
Last (size),1.0
Last (time),4:00p ET 11/28/22
Market Cap,13.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",31.04
Prev Close,271.9
Shares Outstanding,51.6M
Short Interest,0.0177
Today's Open,268.38
Volume,492914.0
Volume 10-day Avg,463206.0
Volume Past Day,(Average)
