,CSL
% Above Low,0.22390000000000002
% Held by Institutions,0.8915000000000001
52-Wk Range,['211.06 - 318.71']
Annual Dividend $,3.0
Annual Dividend %,0.0116
Ask,259.02
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,
Bid Size,
Closing Price,258.32
Day Change $,2.69
Day Change %,0.0105
Day High,262.6
Day Low,255.79
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",16.6
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.35100000000000003
Last (size),725.0
Last (time),5:00p ET 11/25/22
Market Cap,13.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",15.56
Prev Close,255.63
Shares Outstanding,51.7M
Short Interest,0.023700000000000002
Today's Open,255.8
Volume,253220.0
Volume 10-day Avg,582081.0
Volume Past Day,(Light)
