,CSL
Price/Earnings (TTM),15.56111
Price/Sales (TTM),2.05108
Price/Book (MRQ),4.38219
Price/Cash Flow (TTM),11.84437
5yr Low,92.16
5yr High,318.71
5yr Avg Return,0.18265
EPS Growth 5yr,0.1556305
Revenue Growth 5yr,0.0702796
Dividend Growth 5yr,0.10379200000000001
Short Int Current Month,1215741.0
Short Int Prev Month,1334235.0
Short Int Pct of Float,0.023727900000000003
Days to Cover,1.72335
Float,51.29782
Shares Outstanding,51.71596
Institutions Holding Shares,754.0
% Held by Institutions,0.8915470000000001
FCF Growth 5yr,3.713225654585281
