,CSL
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,1.1593406593406592
Growth 1yr High Est,1.1518716577540107
Growth 1yr Consensus Est,1.155606158547335
Growth 2yr Low Est,0.601298828398065
Growth 2yr High Est,0.6253891091950967
Growth 2yr Consensus Est,0.6133439687965809
Growth 5yr Low Est,0.3368129362116111
Growth 5yr High Est,0.35306722540500174
Growth 5yr Consensus Est,0.3449400808083064
Growth 5yr Actual/Est,0.37616589408904166
Growth 3yr Historic,0.08041048331634723
