,LILAK
% Above Low,0.3265
% Held by Institutions,
52-Wk Range,['5.88 - 12.15']
Annual Dividend $,
Annual Dividend %,
Ask,8.7
Ask Size,100.0
Ask close,9.57
B/A Ratio,6.0
B/A Size,600x100
Beta,
Bid,7.47
Bid Size,600.0
Bid close,6.13
Change Since Close,0.00| |(0.00%)
Closing Price,7.8
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.505
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,7.8
Market Cap,1.7B
"P/E Ratio (TTM, GAAP)",--x
Prev Close,7.8
Shares Outstanding,217.4M
Short Interest,
Today's Open,
Volume,1.0
Volume 10-day Avg,1320765.0
Volume Past Day,(Light)
