,LILAK
Next Earnings Announcement,
Growth Analysts,3.0
Growth 1yr Low Est,-0.6322418136020151
Growth 1yr High Est,-0.6465256797583081
Growth 1yr Consensus Est,-0.6393837466801616
Growth 2yr Low Est,-0.8914633725544322
Growth 2yr High Est,-1.4600149766312907
Growth 2yr Consensus Est,-1.1757391745928614
Growth 5yr Low Est,-0.5943089150362881
Growth 5yr High Est,-0.9733433177541938
Growth 5yr Consensus Est,-0.783826116395241
Growth 5yr Actual/Est,1.2859259698768168
Growth 3yr Historic,1.7748592870544089
