,LILAK
5yr Low,5.88
5yr High,22.5
5yr Avg Return,-0.12290000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.1199409
Dividend Growth 5yr,
FCF Growth 5yr,-1.3345668758459457
