,MASS
Price/Earnings (TTM),
Price/Sales (TTM),6.65285
Price/Book (MRQ),1.72516
Price/Cash Flow (TTM),
5yr Low,9.28
5yr High,79.6
5yr Avg Return,-0.2900333333333333
Short Int Current Month,2285237.0
Short Int Prev Month,2234007.0
Short Int Pct of Float,0.0785859
Days to Cover,5.12606
Float,29.13808
Shares Outstanding,31.71128
Institutions Holding Shares,131.0
% Held by Institutions,0.872088
FCF Growth 5yr,3.0687664908434957
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
