,GSHD
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.06521739130434767
Growth 1yr High Est,0.08928571428571419
Growth 1yr Consensus Est,0.07725155279503093
Growth 2yr Low Est,0.0836291038154392
Growth 2yr High Est,0.48726580796252916
Growth 2yr Consensus Est,0.2854474558889842
Growth 5yr Low Est,-0.022025041900818294
Growth 5yr High Est,0.22484387197501945
Growth 5yr Consensus Est,0.10140941503710059
Growth 5yr Actual/Est,0.6426502419149478
Growth 3yr Historic,0.4491978609625669
