,GSHD
% Above Low,0.3591
% Held by Institutions,1.0562
52-Wk Range,['29.23 - 146.25']
Annual Dividend $,
Annual Dividend %,
Ask,39.72
Ask Size,700.0
B/A Ratio,1.5714285714285714
B/A Size,1100x700
Beta,1.2
Bid,37.5
Bid Size,1100.0
Closing Price,39.72
Day Change $,-0.35
Day Change %,-0.0087
Day High,40.15
Day Low,39.35
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.01
Ex-dividend Date,No dividend
Historical Volatility,0.8140000000000001
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,840.0M
"P/E Ratio (TTM, GAAP)",3282.65
Prev Close,40.07
Shares Outstanding,22.7M
Short Interest,0.0931
Today's Open,40.0
Volume,40398.0
Volume 10-day Avg,281067.0
Volume Past Day,(Light)
