,GSHD
Price/Earnings (TTM),3282.645
Price/Sales (TTM),7.7179
Price/Book (MRQ),234.7365
Price/Cash Flow (TTM),191.4703
5yr Low,10.78
5yr High,181.3
5yr Avg Return,0.62054
EPS Growth 5yr,0.1398278
Revenue Growth 5yr,0.3688531
Dividend Growth 5yr,
Short Int Current Month,1860352.0
Short Int Prev Month,1909557.0
Short Int Pct of Float,0.0930979
Days to Cover,5.80111
Float,19.99155
Shares Outstanding,37.34924
Institutions Holding Shares,230.0
% Held by Institutions,1.0562099999999999
FCF Growth 5yr,0.377292056257528
