,APAM
% Above Low,0.31579999999999997
% Held by Institutions,0.8151
52-Wk Range,['25.67 - 48.59']
Annual Dividend $,2.24
Annual Dividend %,0.0663
Ask,36.0
Ask Size,100.0
B/A Ratio,55.0
B/A Size,5500x100
Beta,1.7
Bid,29.0
Bid Size,5500.0
Closing Price,33.77
Day Change $,-0.05
Day Change %,-0.0015
Day High,34.03
Day Low,33.66
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",3.42
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.38
Last (size),29.0
Last (time),5:00p ET 11/25/22
Market Cap,2.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.88
Prev Close,33.82
Shares Outstanding,67.9M
Short Interest,0.059699999999999996
Today's Open,33.66
Volume,152350.0
Volume 10-day Avg,579557.0
Volume Past Day,(Light)
