,HXL
Price/Earnings (TTM),47.56684
Price/Sales (TTM),3.38895
Price/Book (MRQ),3.53511
Price/Cash Flow (TTM),21.95176
5yr Low,24.54
5yr High,87.0
5yr Avg Return,0.016983333333333336
EPS Growth 5yr,-0.3996187
Revenue Growth 5yr,-0.0794848
Dividend Growth 5yr,
Short Int Current Month,4537103.0
Short Int Prev Month,4572606.0
Short Int Pct of Float,0.0541954
Days to Cover,8.05122
Float,83.71831
Shares Outstanding,84.17131
Institutions Holding Shares,460.0
% Held by Institutions,0.983638
FCF Growth 5yr,-0.9113757256438273
