,HXL
% Below High,0.07719999999999999
% Held by Institutions,0.9836
52-Wk Range,['46.77 - 65.82']
Annual Dividend $,0.4
Annual Dividend %,0.0066
Ask,68.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.2
Bid,54.24
Bid Size,200.0
Closing Price,60.74
Day Change $,0.14
Day Change %,0.0023
Day High,61.05
Day Low,60.49
Dividend Pay Date,2022-11-14 00:00:00
"EPS (TTM, GAAP)",1.28
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.391
Last (size),2000.0
Last (time),5:00p ET 11/25/22
Market Cap,5.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",47.57
Prev Close,60.6
Shares Outstanding,84.2M
Short Interest,0.0542
Today's Open,60.65
Volume,109730.0
Volume 10-day Avg,486300.0
Volume Past Day,(Light)
