,HXL
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.6666666666666667
Growth 1yr High Est,-0.651685393258427
Growth 1yr Consensus Est,-0.6591760299625469
Growth 2yr Low Est,-0.1507246376811594
Growth 2yr High Est,0.02093149691917362
Growth 2yr Consensus Est,-0.06489657038099289
Growth 5yr Low Est,-0.0753623188405797
Growth 5yr High Est,0.01046574845958681
Growth 5yr Consensus Est,-0.032448285190496445
Growth 5yr Actual/Est,0.7859765467252097
Growth 3yr Historic,-0.21249299719887954
