,CLDX
% Below High,0.2077
% Held by Institutions,1.043
52-Wk Range,['19.85 - 42.46']
Annual Dividend $,
Annual Dividend %,
Ask,39.95
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,2.3
Bid,33.8
Bid Size,100.0
Closing Price,33.64
Day Change $,-0.75
Day Change %,-0.0218
Day High,34.58
Day Low,33.51
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.27
Ex-dividend Date,No dividend
Historical Volatility,0.6779999999999999
Last (size),65.0
Last (time),12:59p ET 11/25/22
Market Cap,1.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,34.39
Shares Outstanding,47.1M
Short Interest,0.08789999999999999
Today's Open,34.17
Volume,83493.0
Volume 10-day Avg,447631.0
Volume Past Day,(Light)
