,CLDX
Price/Earnings (TTM),
Price/Sales (TTM),1469.794
Price/Book (MRQ),4.58668
Price/Cash Flow (TTM),
5yr Low,1.5
5yr High,57.2
5yr Avg Return,1.1032166666666665
EPS Growth 5yr,
Revenue Growth 5yr,-0.0727721
Dividend Growth 5yr,
Short Int Current Month,4126994.0
Short Int Prev Month,4499168.0
Short Int Pct of Float,0.0878912
Days to Cover,7.89188
Float,46.95592
Shares Outstanding,47.09983
Institutions Holding Shares,224.0
% Held by Institutions,1.043047
FCF Growth 5yr,0.352202807519912
