,OSW
% Below High,0.098
% Held by Institutions,0.9401999999999999
52-Wk Range,['6.80 - 11.12']
Annual Dividend $,
Annual Dividend %,
Ask,10.13
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.9
Bid,10.03
Bid Size,400.0
Day Change $,-0.12
Day Change %,-0.0118
Day High,10.46
Day Low,10.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.46
Ex-dividend Date,No dividend
Historical Volatility,0.48600000000000004
Last (size),49.0
Last (time),9:47a ET 11/28/22
Market Cap,934.9M
"P/E Ratio (TTM, GAAP)",21.83
Prev Close,10.15
Price,10.03
Shares Outstanding,92.5M
Short Interest,0.09380000000000001
Today's Open,10.36
Volume Past Day,(Heavy Day)
