,OSW
Price/Earnings (TTM),21.83453
Price/Sales (TTM),1.73308
Price/Book (MRQ),2.57494
Price/Cash Flow (TTM),12.129
5yr Low,2.45
5yr High,17.25
5yr Avg Return,0.05613333333333334
Short Int Current Month,6411447.0
Short Int Prev Month,6212222.0
Short Int Pct of Float,0.0937926
Days to Cover,11.91938
Float,54.76626
Shares Outstanding,79.05358
Institutions Holding Shares,166.0
% Held by Institutions,0.940244
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
