,OSW
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.5
Growth 1yr High Est,-0.5106382978723404
Growth 1yr Consensus Est,-0.5053191489361701
Growth 2yr Low Est,0.2727272727272727
Growth 2yr High Est,0.3098982423681775
Growth 2yr Consensus Est,0.2913127575477251
Growth 5yr Low Est,0.13636363636363635
Growth 5yr High Est,0.15494912118408874
Growth 5yr Consensus Est,0.14565637877386256
Growth 5yr Actual/Est,-0.9961855363601823
Growth 3yr Historic,-0.8792773237997957
