,JCOM
% Above Low,0.32920000000000005
% Held by Institutions,1.0261
52-Wk Range,['66.85 - 115.84']
Annual Dividend $,
Annual Dividend %,
Ask,88.9
Ask Size,200.0
B/A Ratio,15.5
B/A Size,3100x200
Beta,1.1
Bid,88.86
Bid Size,3100.0
Closing Price,88.86
Day Change $,-1.01
Day Change %,-0.011200000000000002
Day High,90.42
Day Low,88.77
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",7.83
Ex-dividend Date,No dividend
Historical Volatility,0.39
Last (size),9600.0
Last (time),3:59p ET 11/28/22
Market Cap,4.2B
"P/E Ratio (TTM, GAAP)",11.47
Prev Close,89.87
Shares Outstanding,47.2M
Short Interest,0.0698
Today's Open,89.17
Volume,325506.0
Volume 10-day Avg,273751.0
Volume Past Day,(Above Average)
