,GPI
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.3138686131386861
Growth 1yr High Est,0.31465517241379315
Growth 1yr Consensus Est,0.3142618927762396
Growth 2yr Low Est,-0.004176804541768053
Growth 2yr High Est,0.17645326926700589
Growth 2yr Consensus Est,0.08613823236261892
Growth 5yr Low Est,0.40446081163384656
Growth 5yr High Est,0.48362696787914
Growth 5yr Consensus Est,0.44404388975649334
Growth 5yr Actual/Est,0.438712846020471
Growth 3yr Historic,0.3978562360496019
