,GPI
% Below High,0.1017
% Held by Institutions,1.0384
52-Wk Range,['136.16 - 212.23']
Annual Dividend $,1.56
Annual Dividend %,0.008199999999999999
Ask,224.9
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,1.5
Bid,175.0
Bid Size,100.0
Closing Price,190.65
Day Change $,-0.17
Day Change %,-0.0009
Day High,191.68
Day Low,189.5
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",45.55
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.454
Last (size),7.0
Last (time),5:00p ET 11/25/22
Market Cap,2.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.19
Prev Close,190.82
Shares Outstanding,14.6M
Short Interest,0.1629
Today's Open,190.22
Volume,57643.0
Volume 10-day Avg,158085.0
Volume Past Day,(Light)
