,CCK
% Above Low,0.2556
% Held by Institutions,1.0324
52-Wk Range,['66.00 - 130.42']
Annual Dividend $,0.88
Annual Dividend %,0.0106
Ask,83.31
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,60.0
Bid Size,100.0
Closing Price,82.87
Day Change $,0.24
Day Change %,0.0029
Day High,83.33
Day Low,82.08
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",-2.67
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.409
Last (size),838.0
Last (time),5:00p ET 11/25/22
Market Cap,9.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,82.63
Shares Outstanding,119.9M
Short Interest,0.0286
Today's Open,82.59
Volume,295660.0
Volume 10-day Avg,942452.0
Volume Past Day,(Light)
