,CCK
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.124
Growth 1yr High Est,-0.11842105263157887
Growth 1yr Consensus Est,-0.12121052631578944
Growth 2yr Low Est,-0.06732724505327248
Growth 2yr High Est,-0.0032403770620580974
Growth 2yr Consensus Est,-0.03528381105766529
Growth 5yr Low Est,0.08060846227901747
Growth 5yr High Est,0.11346805942420127
Growth 5yr Consensus Est,0.09703826085160937
Growth 5yr Actual/Est,0.0884777310907095
Growth 3yr Historic,0.11310790976886864
