,GNRC
% Above Low,0.09730000000000001
% Held by Institutions,0.9014
52-Wk Range,['95.92 - 445.66']
Annual Dividend $,
Annual Dividend %,
Ask,105.88
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.2
Bid,99.0
Bid Size,400.0
Closing Price,105.25
Day Change $,-1.77
Day Change %,-0.0165
Day High,106.74
Day Low,104.68
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.64
Ex-dividend Date,No dividend
Historical Volatility,0.701
Last (size),69.0
Last (time),5:00p ET 11/25/22
Market Cap,6.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",15.85
Prev Close,107.02
Shares Outstanding,63.4M
Short Interest,0.0883
Today's Open,106.31
Volume,864433.0
Volume 10-day Avg,1694012.0
Volume Past Day,(Light)
