,GNRC
Price/Earnings (TTM),15.85382
Price/Sales (TTM),1.45513
Price/Book (MRQ),2.87567
Price/Cash Flow (TTM),10.63478
5yr Low,42.96
5yr High,524.31
5yr Avg Return,0.35910000000000003
EPS Growth 5yr,0.4059885
Revenue Growth 5yr,0.20939509999999997
Dividend Growth 5yr,
Short Int Current Month,5441540.0
Short Int Prev Month,4834843.0
Short Int Pct of Float,0.0883245
Days to Cover,2.0362
Float,61.62722
Shares Outstanding,63.3564
Institutions Holding Shares,1070.0
% Held by Institutions,0.901438
FCF Growth 5yr,0.3281998159599138
