,GNRC
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.09361233480176212
Growth 1yr High Est,-0.12574257425742574
Growth 1yr Consensus Est,-0.10967745452959393
Growth 2yr Low Est,-0.2594428624191071
Growth 2yr High Est,0.0735953040377651
Growth 2yr Consensus Est,-0.09292377919067099
Growth 5yr Low Est,0.05908293965046818
Growth 5yr High Est,0.2540280959935125
Growth 5yr Consensus Est,0.15655551782199037
Growth 5yr Actual/Est,0.13336054147109141
Growth 3yr Historic,0.1917660408941237
