,ALGM
Price/Earnings (TTM),49.85904
Price/Sales (TTM),7.0292
Price/Book (MRQ),7.26692
Price/Cash Flow (TTM),35.30765
5yr Low,16.78
5yr High,38.28
5yr Avg Return,0.1869333333333334
Short Int Current Month,4014329.0
Short Int Prev Month,2962715.0
Short Int Pct of Float,0.0618565
Days to Cover,4.74266
Float,87.51034
Shares Outstanding,191.3081
Institutions Holding Shares,244.0
% Held by Institutions,0.478026
FCF Growth 5yr,0.40497307573719993
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
