,ALGM
% Below High,0.19149999999999998
% Held by Institutions,0.478
52-Wk Range,['19.20 - 38.28']
Annual Dividend $,
Annual Dividend %,
Ask,30.94
Ask Size,200.0
B/A Ratio,15.0
B/A Size,3000x200
Beta,
Bid,30.82
Bid Size,3000.0
Closing Price,30.95
Day Change $,-0.61
Day Change %,-0.019299999999999998
Day High,31.97
Day Low,30.89
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.62
Ex-dividend Date,No dividend
Historical Volatility,0.457
Last (size),3.0
Last (time),1:00p ET 11/25/22
Market Cap,5.9B
"P/E Ratio (TTM, GAAP)",49.86
Prev Close,31.56
Shares Outstanding,191.3M
Short Interest,0.061900000000000004
Today's Open,31.82
Volume,600445.0
Volume 10-day Avg,1070941.0
Volume Past Day,(Light)
