,VRNA
% Below High,0.1532
% Held by Institutions,0.6975
52-Wk Range,['3.41 - 14.69']
Annual Dividend $,
Annual Dividend %,
Ask,12.9
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.5
Bid,11.96
Bid Size,100.0
Closing Price,12.44
Day Change $,-0.17
Day Change %,-0.013500000000000002
Day High,12.87
Day Low,11.81
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.32
Ex-dividend Date,No dividend
Historical Volatility,0.795
Last (size),100.0
Last (time),3:59p ET 11/28/22
Market Cap,940.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,12.61
Shares Outstanding,75.6M
Short Interest,0.0152
Today's Open,12.6
Volume,331313.0
Volume 10-day Avg,163718.0
Volume Past Day,(Heavy Day)
