,SQ
Price/Earnings (TTM),
Price/Sales (TTM),2.23511
Price/Book (MRQ),2.29175
Price/Cash Flow (TTM),
5yr Low,32.33
5yr High,289.23
5yr Avg Return,0.35589999999999994
EPS Growth 5yr,
Revenue Growth 5yr,0.5954009
Dividend Growth 5yr,
Short Int Current Month,26728744.0
Short Int Prev Month,25875318.0
Short Int Pct of Float,0.050338900000000006
Days to Cover,1.24562
Float,531.0117
Shares Outstanding,598.0711
Institutions Holding Shares,1357.0
% Held by Institutions,0.6432420000000001
FCF Growth 5yr,-0.7316124322069252
