,SQ
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,36.0
Growth 1yr Low Est,-0.1568627450980392
Growth 1yr High Est,-0.40265486725663713
Growth 1yr Consensus Est,-0.27975880617733817
Growth 2yr Low Est,-0.22959416324669402
Growth 2yr High Est,0.23570960340871833
Growth 2yr Consensus Est,0.003057720081012155
Growth 5yr Low Est,-0.015482013130196315
Growth 5yr High Est,0.5485776932706241
Growth 5yr Consensus Est,0.26654784007021387
Growth 5yr Actual/Est,0.3202672561907913
Growth 3yr Historic,0.27142857142857135
