,ONTF
Price/Earnings (TTM),
Price/Sales (TTM),1.8158
Price/Book (MRQ),1.12685
Price/Cash Flow (TTM),
5yr Low,6.95
5yr High,81.98
5yr Avg Return,-0.67525
Short Int Current Month,871006.0
Short Int Prev Month,942735.0
Short Int Pct of Float,0.0199386
Days to Cover,2.84835
Float,43.79365
Shares Outstanding,48.0475
Institutions Holding Shares,140.0
% Held by Institutions,0.702722
FCF Growth 5yr,-1.6541218680847232
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
