,GM
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.11935483870967745
Growth 1yr High Est,0.07638888888888884
Growth 1yr Consensus Est,0.09787186379928314
Growth 2yr Low Est,-0.13772892070279819
Growth 2yr High Est,0.03819444444444442
Growth 2yr Consensus Est,-0.04976723812917688
Growth 5yr Low Est,0.01590875779114953
Growth 5yr High Est,0.12412680802103876
Growth 5yr Consensus Est,0.07001778290609414
Growth 5yr Actual/Est,0.0766869169622392
Growth 3yr Historic,0.11486366330764669
