,GM
Price/Earnings (TTM),6.8673
Price/Sales (TTM),0.39047
Price/Book (MRQ),0.92984
Price/Cash Flow (TTM),2.89375
5yr Low,14.33
5yr High,67.21
5yr Avg Return,0.0054999999999999945
EPS Growth 5yr,0.0221702
Revenue Growth 5yr,-0.0316797
Dividend Growth 5yr,
Short Int Current Month,25944717.0
Short Int Prev Month,23319472.0
Short Int Pct of Float,0.0182979
Days to Cover,1.96847
Float,1349.914
Shares Outstanding,1420.697
Institutions Holding Shares,1584.0
% Held by Institutions,0.802104
FCF Growth 5yr,0.06886139857217839
