,GM
% Above Low,0.334
% Held by Institutions,0.8020999999999999
52-Wk Range,['30.33 - 67.21']
Annual Dividend $,0.36
Annual Dividend %,0.0089
Ask,40.65
Ask Size,2000.0
B/A Ratio,0.25
B/A Size,500x2000
Beta,1.3
Bid,40.31
Bid Size,500.0
Closing Price,40.46
Day Change $,0.35
Day Change %,0.0087
Day High,40.47
Day Low,39.81
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",5.89
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.45
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,57.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.87
Prev Close,40.11
Shares Outstanding,1.4B
Short Interest,0.0183
Today's Open,39.81
Volume,4615339.0
Volume 10-day Avg,14169898.0
Volume Past Day,(Light)
