,LHCG
% Below High,0.0092
% Held by Institutions,0.8194
52-Wk Range,['108.42 - 169.84']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
Ask close,205.77
B/A Ratio,
B/A Size,--
Beta,0.5
Bid,
Bid Size,
Bid close,130.01
Change Since Close,-0.78| |(-0.46%)
Closing Price,168.28
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.05
Ex-dividend Date,No dividend
Historical Volatility,0.29600000000000004
Last (size),2.0
Last (time),1:00p ET 11/25/22
Last Trade,167.5
Market Cap,5.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",82.27
Prev Close,168.28
Shares Outstanding,31.0M
Short Interest,0.10640000000000001
Today's Open,
Volume,4.0
Volume 10-day Avg,211363.0
Volume Past Day,(Light)
