,LHCG
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.28771929824561415
Growth 1yr High Est,-0.1367521367521367
Growth 1yr Consensus Est,-0.21223571749887543
Growth 2yr Low Est,-0.15740644715236368
Growth 2yr High Est,-0.03372260302953367
Growth 2yr Consensus Est,-0.09556452509094868
Growth 5yr Low Est,-0.008920500604392784
Growth 5yr High Est,0.05071540456761975
Growth 5yr Consensus Est,0.020897451981613482
Growth 5yr Actual/Est,0.030117033751635353
Growth 3yr Historic,0.06612948599445412
