,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2019,Neutral,6.37,,,6.39,,6.43,,6.41,6.37,,
Year ending 12/2020,Neutral,4.46,,-0.2998430141287284,4.25,-0.33489827856025034,4.45,-0.3079315707620528,4.35,4.46,-0.2998430141287284,-0.32141492466115157
Year ending 12/2021,Neutral,6.09,,0.3654708520179373,6.01,0.4141176470588235,6.07,0.3640449438202247,6.04,6.09,0.3654708520179373,0.3890812954395241
Year ending 12/2022,Neutral,,7.18,0.0,7.12,0.18469217970049923,7.2,0.18616144975288296,7.18,7.18,0.17898193760262715,0.1854268147266911
Year ending 12/2023,Neutral,,7.87,0.0,7.32,0.028089887640449396,8.22,0.14166666666666683,7.87,7.87,0.09610027855153214,0.08487827715355811
