,TT
Price/Earnings (TTM),25.48151
Price/Sales (TTM),2.66115
Price/Book (MRQ),7.78322
Price/Cash Flow (TTM),20.67186
5yr Low,70.0
5yr High,207.06
5yr Avg Return,0.14681666666666668
EPS Growth 5yr,0.0156222
Revenue Growth 5yr,0.0091222
Dividend Growth 5yr,0.1165409
Short Int Current Month,2036029.0
Short Int Prev Month,1956278.0
Short Int Pct of Float,0.0088816
Days to Cover,1.24171
Float,204.7667
Shares Outstanding,230.3073
Institutions Holding Shares,1318.0
% Held by Institutions,0.8587980000000001
FCF Growth 5yr,0.8254105984144008
