,TT
% Below High,0.1461
% Held by Institutions,0.8588
52-Wk Range,['120.64 - 204.23']
Annual Dividend $,2.68
Annual Dividend %,0.015
Ask,300.0
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.1
Bid,
Bid Size,
Change Since Close,0.00| |(0.00%)
Closing Price,174.39
Day Change $,-4.56
Day Change %,-0.0255
Day High,178.21
Day Low,173.84
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",7.02
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.31
Last (size),210.0
Last (time),7:00p ET 11/28/22
Last Trade,0.0
Market Cap,40.2B
"P/E Ratio (TTM, GAAP)",25.48
Prev Close,178.95
Shares Outstanding,230.3M
Short Interest,0.0089
Today's Open,177.53
Volume,928097.0
Volume 10-day Avg,1181189.0
Volume Past Day,(Light)
