,MGNI
% Above Low,0.8389
% Held by Institutions,0.6666
52-Wk Range,['5.59 - 19.23']
Annual Dividend $,
Annual Dividend %,
Ask,10.7
Ask Size,200.0
Ask close,12.7
B/A Ratio,1.0
B/A Size,200x200
Beta,2.1
Bid,10.02
Bid Size,200.0
Bid close,7.92
Change Since Close,0.00| |(0.00%)
Closing Price,10.27
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.71
Ex-dividend Date,No dividend
Historical Volatility,0.96
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,10.27
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,10.27
Shares Outstanding,133.4M
Short Interest,0.07980000000000001
Today's Open,
Volume,1.0
Volume 10-day Avg,3698637.0
Volume Past Day,(Light)
