,PWR
% Below High,0.037000000000000005
% Held by Institutions,0.9209999999999999
52-Wk Range,['93.91 - 151.77']
Annual Dividend $,0.28
Annual Dividend %,0.0019
Ask,146.3
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.1
Bid,146.18
Bid Size,200.0
Day Change $,-2.36
Day Change %,-0.0159
Day High,150.47
Day Low,146.14
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",2.93
Ex-dividend,2022-09-30 00:00:00
Ex-dividend Date,09/30/22
Historical Volatility,0.397
Last (size),4.0
Last (time),11:55a ET 11/28/22
Market Cap,20.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",50.71
Prev Close,148.52
Price,146.16
Shares Outstanding,142.9M
Short Interest,0.0331
Today's Open,148.58
Volume Past Day,(Light)
