,PWR
Price/Earnings (TTM),50.70863
Price/Sales (TTM),1.28001
Price/Book (MRQ),4.08635
Price/Cash Flow (TTM),18.89695
5yr Low,23.77
5yr High,151.77
5yr Avg Return,0.30673333333333336
EPS Growth 5yr,0.2148174
Revenue Growth 5yr,0.1114991
Dividend Growth 5yr,
Short Int Current Month,4665934.0
Short Int Prev Month,5257057.0
Short Int Pct of Float,0.0330622
Days to Cover,3.90852
Float,141.1731
Shares Outstanding,142.9012
Institutions Holding Shares,1112.0
% Held by Institutions,0.921048
FCF Growth 5yr,-3.157496947496948
