,ADM
Price/Earnings (TTM),13.44453
Price/Sales (TTM),0.54206
Price/Book (MRQ),2.2283
Price/Cash Flow (TTM),10.35116
5yr Low,28.92
5yr High,98.88
5yr Avg Return,0.1756833333333333
EPS Growth 5yr,0.171692
Revenue Growth 5yr,0.0645747
Dividend Growth 5yr,0.0428362
Short Int Current Month,7063185.0
Short Int Prev Month,6713271.0
Short Int Pct of Float,0.0129367
Days to Cover,2.76992
Float,546.5659
Shares Outstanding,549.3342
Institutions Holding Shares,1448.0
% Held by Institutions,0.7986719999999999
FCF Growth 5yr,-1.5233841724840633
