,PDCO
Price/Earnings (TTM),14.88041
Price/Sales (TTM),0.44492
Price/Book (MRQ),2.76656
Price/Cash Flow (TTM),10.4116
5yr Low,12.93
5yr High,38.52
5yr Avg Return,-0.0012500000000000013
EPS Growth 5yr,0.025527099999999997
Revenue Growth 5yr,0.03049
Dividend Growth 5yr,0.0119556
Short Int Current Month,4187678.0
Short Int Prev Month,4579729.0
Short Int Pct of Float,0.0482878
Days to Cover,6.94429
Float,86.7552
Shares Outstanding,97.33512
Institutions Holding Shares,356.0
% Held by Institutions,0.815553
FCF Growth 5yr,0.0155013093290474
