,BUSE
% Below High,0.1177
% Held by Institutions,0.5085999999999999
52-Wk Range,['21.66 - 29.73']
Annual Dividend $,0.92
Annual Dividend %,0.0351
Ask,27.24
Ask Size,600.0
B/A Ratio,0.6666666666666666
B/A Size,400x600
Beta,0.9
Bid,24.39
Bid Size,400.0
Closing Price,26.23
Day Change $,0.15
Day Change %,0.0058
Day High,26.38
Day Low,25.7
Dividend Pay Date,2022-10-28 00:00:00
"EPS (TTM, GAAP)",2.2
Ex-dividend,2022-10-20 00:00:00
Ex-dividend Date,10/20/22
Historical Volatility,0.265
Last (size),25.0
Last (time),12:59p ET 11/25/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",11.9
Prev Close,26.08
Shares Outstanding,55.2M
Short Interest,0.0089
Today's Open,26.25
Volume,26535.0
Volume 10-day Avg,134712.0
Volume Past Day,(Light)
