,BUSE
Price/Earnings (TTM),11.90066
Price/Sales (TTM),3.32579
Price/Book (MRQ),1.3092
Price/Cash Flow (TTM),9.62456
5yr Low,11.0
5yr High,33.25
5yr Avg Return,-0.01555
EPS Growth 5yr,0.09450570000000001
Revenue Growth 5yr,0.1262577
Dividend Growth 5yr,0.0135796
Short Int Current Month,454223.0
Short Int Prev Month,618091.0
Short Int Pct of Float,0.0089002
Days to Cover,2.81369
Float,51.07931
Shares Outstanding,55.23243
Institutions Holding Shares,215.0
% Held by Institutions,0.508603
FCF Growth 5yr,0.1878753056199903
