,BUSE
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.09545454545454546
Growth 1yr High Est,0.13839285714285698
Growth 1yr Consensus Est,0.11692370129870122
Growth 2yr Low Est,0.08299698227084118
Growth 2yr High Est,0.14762780112044815
Growth 2yr Consensus Est,0.11531239169564467
Growth 5yr Low Est,0.08886397045503752
Growth 5yr High Est,0.11855074266548726
Growth 5yr Consensus Est,0.10370735656026239
Growth 5yr Actual/Est,0.1042158537654457
Growth 3yr Historic,0.045198854504544
