,SLP
Next Earnings Announcement,2023-01-05 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.0862068965517242
Growth 1yr High Est,0.01538461538461533
Growth 1yr Consensus Est,0.050795755968169765
Growth 2yr Low Est,0.10659551176792559
Growth 2yr High Est,0.06829836829836822
Growth 2yr Consensus Est,0.0874469400331469
Growth 5yr Low Est,0.10659551176792559
Growth 5yr High Est,0.06829836829836822
Growth 5yr Consensus Est,0.0874469400331469
Growth 5yr Actual/Est,0.10597185283687943
Growth 3yr Historic,0.05414893617021277
