,SLP
% Above Low,0.1354
% Held by Institutions,0.758
52-Wk Range,['35.18 - 67.59']
Annual Dividend $,0.24
Annual Dividend %,0.0058
Ask,40.01
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,0.5
Bid,39.87
Bid Size,400.0
Day Change $,-1.29
Day Change %,-0.0313
Day High,41.4
Day Low,39.68
Dividend Pay Date,2022-11-07 00:00:00
"EPS (TTM, GAAP)",0.6
Ex-dividend,2022-10-28 00:00:00
Ex-dividend Date,10/28/22
Historical Volatility,0.49
Last (size),100.0
Last (time),2:33p ET 11/28/22
Market Cap,810.7M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",68.56
Prev Close,41.23
Price,39.94
Shares Outstanding,20.3M
Short Interest,0.0787
Today's Open,41.02
Volume Past Day,(Heavy Day)
