,SLP
Price/Earnings (TTM),68.55898
Price/Sales (TTM),15.52467
Price/Book (MRQ),4.68629
Price/Cash Flow (TTM),52.11888
5yr Low,14.25
5yr High,90.92
5yr Avg Return,0.28783333333333333
EPS Growth 5yr,0.1273303
Revenue Growth 5yr,0.1743228
Dividend Growth 5yr,0.0371373
Short Int Current Month,1265280.0
Short Int Prev Month,1453004.0
Short Int Pct of Float,0.0787408
Days to Cover,9.55181
Float,16.06892
Shares Outstanding,20.29767
Institutions Holding Shares,245.0
% Held by Institutions,0.75804
FCF Growth 5yr,0.8576049226765784
